,0,1
0,88.0,-0.00021175126050414144
1,80.0,-0.00020853417410050533
2,89.0,-0.00021206963028326894
3,90.0,-0.00021241425957604308
4,76.0,-0.00020669061040788455
5,86.0,-0.00021103254363210192
6,83.0,-0.00020988398821647207
7,74.0,-0.00020570828624351937
8,81.0,-0.00020902344197361265
9,91.0,-0.00021275076686303463
10,79.0,-0.00020810123833893749
11,87.0,-0.00021138010173776895
12,78.0,-0.00020760904797964403
13,77.0,-0.00020716120230165693
14,72.0,-0.00020467944013830981
15,82.0,-0.00020944457427292528
16,68.0,-0.00020244727868465862
17,71.0,-0.00020410770560045123
18,93.0,-0.00021339688152595315
19,92.0,-0.00021306153640593544
20,94.0,-0.0002136597230002913
21,56.0,-0.00019469882474708363
22,55.0,-0.00019393279292362795
23,58.0,-0.000196031318434365
24,49.0,-0.0001889981623101978
25,53.0,-0.0001923958062943055
26,50.0,-0.00018990401118675076
27,69.0,-0.00020299279842609288
28,45.0,-0.0001849230729078982
29,59.0,-0.00019683188966511964
30,64.0,-0.00020002708581601255
31,57.0,-0.00019545870489166487
32,62.0,-0.000198803970185421
33,48.0,-0.00018816901494088243
34,46.0,-0.00018603314159248974
35,51.0,-0.0001907095679631006
36,75.0,-0.00020615710804375675
37,61.0,-0.00019803499086020455
38,54.0,-0.00019314752737907844
39,60.0,-0.00019746872073695359
40,63.0,-0.00019937068296221568
41,52.0,-0.0001914662466426827
42,96.0,-0.00021427001416539249
43,40.0,-0.000179541242563808
44,39.0,-0.00017838962431236167
45,36.0,-0.00017451974525178472
46,84.0,-0.00021023586687929946
47,28.0,-0.00016205654086044911
48,85.0,-0.00021065561629839185
49,42.0,-0.00018168361885465538
50,26.0,-0.00015779159286653452
51,95.0,-0.00021395816855509841
52,65.0,-0.00020065323144369065
53,25.0,-0.0001548975590980999
54,27.0,-0.00015973301099638526
55,98.0,-0.00021482191658363527
56,30.0,-0.00016574845812218443
57,67.0,-0.00020182644108347406
58,99.0,-0.00021510130678869917
59,13.0,-0.00011819074853882278
60,10.0,-0.00010757982573328974
61,32.0,-0.0001687292475028191
62,31.0,-0.00016725999807748693
63,22.0,-0.0001474858520981658
64,23.0,-0.0001506131177708727
65,29.0,-0.0001641668294658527
66,47.0,-0.0001870407007284192
67,43.0,-0.00018268499826747667
68,20.0,-0.00014226133966203274
69,97.0,-0.00021455682368973724
70,9.0,-9.992886952029842e-05
71,5.0,-7.491454198383313e-05
72,35.0,-0.0001731771537972648
73,3.0,-5.7660114962101315e-05
74,34.0,-0.00017179887929939366
75,16.0,-0.0001293872014574826
76,8.0,-9.508872489627085e-05
77,6.0,-8.388661269827906e-05
78,33.0,-0.00017027058810994
79,15.0,-0.00012668404366402043
80,24.0,-0.00015225602666266294
81,4.0,-6.676994463531879e-05
82,7.0,-9.05703827370649e-05
83,21.0,-0.00014517152491506994
84,44.0,-0.0001838438880674854
85,14.0,-0.00012230208021812584
86,41.0,-0.00018075243760254595
87,11.0,-0.00011121791651862106
88,37.0,-0.00017606574418014344
89,2.0,-4.152390366192807e-05
90,38.0,-0.00017721615828968372
91,66.0,-0.00020122644291272932
92,18.0,-0.00013604105912555725
93,19.0,-0.00013841688066289787
94,70.0,-0.00020353261785362688
95,17.0,-0.00013309285989771512
96,73.0,-0.00020519462564416784
97,12.0,-0.00011476032057424847
98,100.0,-0.00021533298457386023
