,0,1
0,86.0,-0.00014671618130257484
1,81.0,-0.00014536598961045565
2,72.0,-0.00014258025358076086
3,78.0,-0.00014448528525805245
4,75.0,-0.0001435559244794878
5,77.0,-0.0001441805608025866
6,74.0,-0.0001432366738321594
7,76.0,-0.000143869657345659
8,79.0,-0.00014478280085445712
9,84.0,-0.00014620269652451656
10,71.0,-0.00014224536844131328
11,73.0,-0.00014291419910349504
12,85.0,-0.00014645990470655892
13,82.0,-0.00014565356903948045
14,83.0,-0.00014592896248206568
15,80.0,-0.00014507601052554913
16,69.0,-0.00014152977708886477
17,70.0,-0.00014190086879267897
18,68.0,-0.00014115675451505775
19,67.0,-0.00014077387582922863
20,63.0,-0.00013919255159436746
21,55.0,-0.00013562747788578263
22,66.0,-0.0001403829280955897
23,61.0,-0.000138368633007087
24,65.0,-0.00013999072096452245
25,60.0,-0.00013795103892631262
26,54.0,-0.00013509456355193552
27,57.0,-0.00013662389884470835
28,59.0,-0.00013752088788944507
29,58.0,-0.00013708206506007643
30,64.0,-0.00013959567084633062
31,62.0,-0.00013878483223891012
32,56.0,-0.00013614948255075116
33,89.0,-0.00014746731923809047
34,87.0,-0.00014697124730581236
35,100.0,-0.00014987343394488346
36,99.0,-0.00014968136248032175
37,95.0,-0.00014885791062277045
38,90.0,-0.0001477054629920089
39,94.0,-0.00014863386234733485
40,93.0,-0.00014840422969331673
41,88.0,-0.00014722209477227092
42,91.0,-0.00014794269573240165
43,97.0,-0.00014927849221758988
44,96.0,-0.00014907139022373098
45,92.0,-0.00014817402051471338
46,98.0,-0.00014948234651741214
47,53.0,-0.00013454462146553285
48,50.0,-0.00013285573572019625
49,52.0,-0.00013398483749408834
50,49.0,-0.00013227118331759087
51,46.0,-0.00013044490384006528
52,51.0,-0.00013342248794893466
53,47.0,-0.00013107250354675492
54,48.0,-0.00013167602848121934
55,41.0,-0.0001269357679362087
56,42.0,-0.0001277202669707734
57,43.0,-0.00012849703923599253
58,44.0,-0.0001291679911753797
59,45.0,-0.00012981192234658322
60,33.0,-0.00011948367346287808
61,32.0,-0.00011842130837028288
62,29.0,-0.00011510244945580974
63,27.0,-0.00011268658861670248
64,31.0,-0.00011733295816576524
65,25.0,-0.00011019628751579867
66,36.0,-0.00012252701498342188
67,26.0,-0.00011149863172761421
68,39.0,-0.0001252980079950449
69,35.0,-0.00012155774499559092
70,40.0,-0.00012613162394597112
71,30.0,-0.00011623362806742524
72,28.0,-0.00011397583295840693
73,37.0,-0.00012346128423427823
74,38.0,-0.00012437007632631815
75,34.0,-0.00012049008665109338
76,20.0,-0.00010224751893625067
77,21.0,-0.00010409563036556633
78,19.0,-0.00010032822098513326
79,22.0,-0.00010589236946961837
80,24.0,-0.000108744580493944
81,23.0,-0.0001074222359487749
82,8.0,-7.233128254462583e-05
83,11.0,-8.198945324254564e-05
84,10.0,-7.907369000851572e-05
85,9.0,-7.56646532164345e-05
86,17.0,-9.651120637800591e-05
87,15.0,-9.186518179888277e-05
88,16.0,-9.436266736178963e-05
89,13.0,-8.767313601482646e-05
90,18.0,-9.837934599764697e-05
91,12.0,-8.49663811988088e-05
92,7.0,-6.790737242322908e-05
93,6.0,-6.325259966869398e-05
94,14.0,-8.987934230076252e-05
95,4.0,-5.2015962427686e-05
96,5.0,-5.9275101516250095e-05
97,2.0,-3.595596531818963e-05
98,3.0,-4.4834680780842674e-05
